"Grupa produktowa,Forma Platnosci,Wojewodztwo,Miesiac i rok transakcji,Sprzedaz (srednia),Sprzedaz (mediana),Sprzedaz (minimum),Sprzedaz (maksimum),Sprzedaz (odchylenie standardowe)"
"Pralki,Karta,Zachód,2 2004","1221,23","1357,00","623,00","1954,00","439,88"
"Pralki,Karta,Œl¹sk,2 2004","1167,39","1202,50","605,00","1898,00","434,03"
"Pralki,Kredyt,Centrum,2 2004","1256,25","1271,50","645,00","1992,00","465,89"
"Pralki,Kredyt,Pomorze,2 2004","1191,00","874,00","626,00","1898,00","451,43"
"Pralki,Kredyt,Po³udnie,2 2004","1138,13","900,00","645,00","1954,00","452,39"
"Pralki,Kredyt,Pó³noc,2 2004","1086,12","1027,50","626,00","1898,00","440,29"
"Pralki,Kredyt,Wschód,2 2004","1243,20","1359,00","626,00","1898,00","428,78"
"Pralki,Kredyt,Zachód,2 2004","1184,07","900,00","626,00","1954,00","440,93"
"Pralki,Kredyt,Œl¹sk,2 2004","1112,72","874,00","626,00","1898,00","423,36"
"Telewizory,Gotówka,Centrum,2 2004","789,92","772,00","618,00","1018,00","96,56"
"Telewizory,Gotówka,Pomorze,2 2004","741,66","685,00","596,00","970,00","99,32"
"Telewizory,Gotówka,Po³udnie,2 2004","772,38","771,00","627,00","999,00","86,36"
"Telewizory,Gotówka,Pó³noc,2 2004","729,00","725,00","616,00","863,00","73,44"
"Telewizory,Gotówka,Wschód,2 2004","769,44","750,00","609,00","940,00","82,10"
"Telewizory,Gotówka,Zachód,2 2004","774,49","772,00","622,00","969,00","87,67"
"Telewizory,Gotówka,Œl¹sk,2 2004","755,12","747,00","604,00","970,00","96,69"
"Telewizory,Karta,Centrum,2 2004","798,44","794,00","647,00","999,00","88,83"
"Telewizory,Karta,Pomorze,2 2004","770,38","806,00","589,00","940,00","91,19"
"Telewizory,Karta,Po³udnie,2 2004","759,76","729,50","606,00","999,00","90,03"
"Telewizory,Karta,Pó³noc,2 2004","780,36","763,00","656,00","970,00","101,17"
"Telewizory,Karta,Wschód,2 2004","775,59","750,00","596,00","970,00","96,51"
"Telewizory,Karta,Zachód,2 2004","790,74","772,00","616,00","999,00","101,59"
"Telewizory,Karta,Œl¹sk,2 2004","741,00","727,00","596,00","970,00","98,84"
"Telewizory,Kredyt,Centrum,2 2004","783,36","786,00","635,00","1018,00","84,74"
"Telewizory,Kredyt,Pomorze,2 2004","759,19","722,50","675,00","863,00","81,90"
"Telewizory,Kredyt,Po³udnie,2 2004","809,35","772,00","644,00","999,00","103,14"
"Telewizory,Kredyt,Pó³noc,2 2004","827,60","831,00","750,00","863,00","41,36"
"Telewizory,Kredyt,Wschód,2 2004","763,30","750,00","609,00","970,00","88,91"
"Telewizory,Kredyt,Zachód,2 2004","772,69","772,00","609,00","999,00","99,78"
"Telewizory,Kredyt,Œl¹sk,2 2004","750,49","750,00","609,00","970,00","90,91"
"Zmywarki,Gotówka,Centrum,2 2004","1374,82","1316,00","957,00","1834,00","257,28"
